CEP,CEP_Formatado,UF,Cidade_Referencia,Regiao
06223-200,6223200,MG,Uberlândia,Sudeste
76940-000,76940000,MG,Juiz de Fora,Sudeste
04190-040,4190040,MG,Belo Horizonte,Sudeste
38780-000,38780000,MG,Contagem,Sudeste
12305-021,12305021,MG,Belo Horizonte,Sudeste
09784-375,9784375,MG,Juiz de Fora,Sudeste
39330-000,39330000,MG,Belo Horizonte,Sudeste
68550-000,68550000,MG,Uberlândia,Sudeste
88350-020,88350020,MG,Belo Horizonte,Sudeste
79080-450,79080450,MG,Belo Horizonte,Sudeste
58051-830,58051830,MG,Belo Horizonte,Sudeste
22795-455,22795455,MG,Juiz de Fora,Sudeste
80610-020,80610020,MG,Belo Horizonte,Sudeste
21615-510,21615510,MG,Uberlândia,Sudeste
68786-000,68786000,MG,Belo Horizonte,Sudeste
05635-040,5635040,MG,Belo Horizonte,Sudeste
11706-360,11706360,MG,Belo Horizonte,Sudeste
13604-354,13604354,MG,Belo Horizonte,Sudeste
06236-090,6236090,MG,Belo Horizonte,Sudeste
89677-000,89677000,MG,Belo Horizonte,Sudeste
09910-720,9910720,MG,Belo Horizonte,Sudeste
78705-275,78705275,MG,Belo Horizonte,Sudeste
03318-000,3318000,MG,Belo Horizonte,Sudeste
22261-020,22261020,MG,Belo Horizonte,Sudeste
72225-273,72225273,MG,Belo Horizonte,Sudeste
18405-290,18405290,MG,Contagem,Sudeste
73802-419,73802419,MG,Belo Horizonte,Sudeste
83650-000,83650000,MG,Belo Horizonte,Sudeste
72587-010,72587010,MG,Belo Horizonte,Sudeste
72445-050,72445050,MG,Belo Horizonte,Sudeste
55153-560,55153560,MG,Belo Horizonte,Sudeste
18213-672,18213672,MG,Belo Horizonte,Sudeste
29102-290,29102290,MG,Belo Horizonte,Sudeste
29107-250,29107250,MG,Uberlândia,Sudeste
03068-000,3068000,MG,Juiz de Fora,Sudeste
08021-250,8021250,MG,Belo Horizonte,Sudeste
09530-211,9530211,MG,Belo Horizonte,Sudeste
18016-510,18016510,MG,Belo Horizonte,Sudeste
78760-000,78760000,MG,Juiz de Fora,Sudeste
06767-300,6767300,MG,Belo Horizonte,Sudeste
18236-004,18236004,MG,Belo Horizonte,Sudeste
91150-270,91150270,MG,Juiz de Fora,Sudeste
78640-000,78640000,MG,Belo Horizonte,Sudeste
09121-700,9121700,MG,Belo Horizonte,Sudeste
11015-070,11015070,MG,Belo Horizonte,Sudeste
88162-156,88162156,MG,Belo Horizonte,Sudeste
29620-000,29620000,MG,Belo Horizonte,Sudeste
38447-376,38447376,MG,Belo Horizonte,Sudeste
02334-001,2334001,MG,Belo Horizonte,Sudeste
09060-110,9060110,MG,Belo Horizonte,Sudeste
35560-000,35560000,MG,Belo Horizonte,Sudeste
81510-510,81510510,MG,Contagem,Sudeste
88450-000,88450000,MG,Contagem,Sudeste
78842-000,78842000,MG,Belo Horizonte,Sudeste
07787-850,7787850,MG,Uberlândia,Sudeste
60177-020,60177020,MG,Belo Horizonte,Sudeste
09691-200,9691200,MG,Belo Horizonte,Sudeste
36254-521,3625452,MG,Juiz de Fora,Sudeste
79980-000,79980000,MG,Belo Horizonte,Sudeste
06404-326,6404326,MG,Belo Horizonte,Sudeste
37660-000,37660000,MG,Belo Horizonte,Sudeste
98114-300,9811430,MG,Belo Horizonte,Sudeste
05572-100,5572100,MG,Juiz de Fora,Sudeste
06311-170,6311170,MG,Belo Horizonte,Sudeste
12947-250,12947250,MG,Juiz de Fora,Sudeste
06764-040,6764040,MG,Juiz de Fora,Sudeste
13190-240,13190240,MG,Belo Horizonte,Sudeste
29101-564,29101564,MG,Contagem,Sudeste
85010-040,85010040,MG,Belo Horizonte,Sudeste
22270-010,22270010,MG,Belo Horizonte,Sudeste
83260-000,83260000,MG,Belo Horizonte,Sudeste
13050-410,13050410,MG,Uberlândia,Sudeste
09541-130,9541130,MG,Contagem,Sudeste
89221-585,89221585,MG,Belo Horizonte,Sudeste
07260-370,7260370,MG,Belo Horizonte,Sudeste
93050-010,93050010,MG,Belo Horizonte,Sudeste
72156-111,72156111,MG,Uberlândia,Sudeste
23934-095,23934095,MG,Belo Horizonte,Sudeste
40080-004,40080004,MG,Belo Horizonte,Sudeste
03263-030,3263030,MG,Uberlândia,Sudeste
13214-065,13214065,MG,Juiz de Fora,Sudeste
94853-833,94853833,MG,Belo Horizonte,Sudeste
11346-190,11346190,MG,Belo Horizonte,Sudeste
04522-032,4522032,MG,Contagem,Sudeste
03502-020,3502020,MG,Contagem,Sudeste
08225-220,8225220,MG,Belo Horizonte,Sudeste
12245-340,12245340,MG,Belo Horizonte,Sudeste
04905-000,4905000,MG,Juiz de Fora,Sudeste
02308-010,2308010,MG,Contagem,Sudeste
39150-000,39150000,MG,Juiz de Fora,Sudeste
09780-540,9780540,MG,Belo Horizonte,Sudeste
76847-000,76847000,MG,Uberlândia,Sudeste
02233-100,2233100,MG,Belo Horizonte,Sudeste
89074-740,89074740,MG,Contagem,Sudeste
72220-050,72220050,MG,Juiz de Fora,Sudeste
09890-110,9890110,MG,Belo Horizonte,Sudeste
39260-000,39260000,MG,Belo Horizonte,Sudeste
13976-515,13976515,MG,Uberlândia,Sudeste
06361-380,6361380,MG,Uberlândia,Sudeste
77365-000,77365000,MG,Contagem,Sudeste
05311-000,5311000,MG,Juiz de Fora,Sudeste
04546-080,4546080,MG,Contagem,Sudeste
75526-085,75526085,MG,Contagem,Sudeste
66617-600,66617600,MG,Contagem,Sudeste
76195-000,76195000,MG,Belo Horizonte,Sudeste
91150-460,91150460,MG,Contagem,Sudeste
08060-130,8060130,MG,Belo Horizonte,Sudeste
13212-080,13212080,MG,Belo Horizonte,Sudeste
78099-055,78099055,MG,Belo Horizonte,Sudeste
13015-000,13015000,MG,Uberlândia,Sudeste
78730-168,78730168,MG,Belo Horizonte,Sudeste
05763-450,5763450,MG,Belo Horizonte,Sudeste
07273-000,7273000,MG,Belo Horizonte,Sudeste
02993-230,2993230,MG,Belo Horizonte,Sudeste
88495-000,88495000,MG,Juiz de Fora,Sudeste
44096-486,44096486,MG,Belo Horizonte,Sudeste
07987-160,7987160,MG,Belo Horizonte,Sudeste
08230-430,8230430,MG,Uberlândia,Sudeste
90660-900,90660900,MG,Belo Horizonte,Sudeste
22031-011,22031011,MG,Belo Horizonte,Sudeste
11701-390,11701390,MG,Belo Horizonte,Sudeste
06720-280,6720280,MG,Belo Horizonte,Sudeste
05143-000,5143000,MG,Contagem,Sudeste
88122-049,88122049,MG,Contagem,Sudeste
88704-400,88704400,MG,Belo Horizonte,Sudeste
78530-000,78530000,MG,Contagem,Sudeste
04360-040,4360040,MG,Belo Horizonte,Sudeste
08130-060,8130060,MG,Belo Horizonte,Sudeste
29890-000,29890000,MG,Contagem,Sudeste
04240-070,4240070,MG,Belo Horizonte,Sudeste
08451-340,8451340,MG,Belo Horizonte,Sudeste
07791-000,7791000,MG,Belo Horizonte,Sudeste
31155-420,31155420,MG,Contagem,Sudeste
07600-328,7600328,MG,Belo Horizonte,Sudeste
13339-315,13339315,MG,Belo Horizonte,Sudeste
04447-011,4447011,MG,Belo Horizonte,Sudeste
55294-837,55294837,MG,Uberlândia,Sudeste
63010-459,63010459,MG,Uberlândia,Sudeste
81925-580,81925580,MG,Belo Horizonte,Sudeste
06440-183,6440183,MG,Belo Horizonte,Sudeste
68702-080,68702080,MG,Belo Horizonte,Sudeste
37901-535,37901535,MG,Belo Horizonte,Sudeste
13332-190,13332190,MG,Belo Horizonte,Sudeste
06226-090,6226090,MG,Belo Horizonte,Sudeste
88056-230,88056230,MG,Belo Horizonte,Sudeste
74843-170,74843170,MG,Juiz de Fora,Sudeste
41180-120,41180120,MG,Belo Horizonte,Sudeste
88102-040,88102040,MG,Belo Horizonte,Sudeste
96020-450,96020450,MG,Belo Horizonte,Sudeste
74435-240,74435240,MG,Belo Horizonte,Sudeste
99713-355,99713355,MG,Belo Horizonte,Sudeste
72880-682,72880682,MG,Belo Horizonte,Sudeste
69906-210,69906210,MG,Belo Horizonte,Sudeste
09851-050,9851050,MG,Juiz de Fora,Sudeste
06738-770,6738770,MG,Contagem,Sudeste
02513-020,2513020,MG,Uberlândia,Sudeste
29050-580,29050580,MG,Belo Horizonte,Sudeste
09541-270,9541270,MG,Belo Horizonte,Sudeste
42739-240,42739240,MG,Belo Horizonte,Sudeste
23815-390,23815390,MG,Belo Horizonte,Sudeste
36300-364,36300364,MG,Belo Horizonte,Sudeste
05345-000,5345000,MG,Belo Horizonte,Sudeste
82820-390,82820390,MG,Uberlândia,Sudeste
05463-060,5463060,MG,Belo Horizonte,Sudeste
09820-680,9820680,MG,Belo Horizonte,Sudeste
05119-120,5119120,MG,Juiz de Fora,Sudeste
06030-260,6030260,MG,Juiz de Fora,Sudeste
08490-700,8490700,MG,Contagem,Sudeste
13046-545,13046545,MG,Belo Horizonte,Sudeste
12236-430,12236430,MG,Belo Horizonte,Sudeste
87600-003,8760000,MG,Belo Horizonte,Sudeste
29110-182,29110182,MG,Belo Horizonte,Sudeste
05171-600,5171600,MG,Belo Horizonte,Sudeste
97105-010,97105010,MG,Belo Horizonte,Sudeste
06864-550,6864550,MG,Contagem,Sudeste
32042-210,32042210,MG,Belo Horizonte,Sudeste
38183-244,38183244,MG,Belo Horizonte,Sudeste
14091-330,14091330,MG,Belo Horizonte,Sudeste
86400-000,86400000,MG,Belo Horizonte,Sudeste
01211-000,1211000,MG,Belo Horizonte,Sudeste
24908-055,24908055,MG,Belo Horizonte,Sudeste
39400-081,39400081,MG,Belo Horizonte,Sudeste
74180-100,74180100,MG,Belo Horizonte,Sudeste
15910-000,15910000,MG,Belo Horizonte,Sudeste
73252-200,73252200,MG,Belo Horizonte,Sudeste
21370-540,21370540,MG,Belo Horizonte,Sudeste
74675-400,74675400,MG,Belo Horizonte,Sudeste
32015-770,32015770,MG,Uberlândia,Sudeste
05054-040,5054040,MG,Belo Horizonte,Sudeste
02244-080,2244080,MG,Belo Horizonte,Sudeste
81570-210,81570210,MG,Uberlândia,Sudeste
06246-040,6246040,MG,Uberlândia,Sudeste
40110-180,40110180,MG,Juiz de Fora,Sudeste
34800-000,34800000,MG,Contagem,Sudeste
56304-441,56304441,MG,Uberlândia,Sudeste
74933-240,74933240,MG,Belo Horizonte,Sudeste
32405-406,32405406,MG,Belo Horizonte,Sudeste
69900-082,69900082,MG,Belo Horizonte,Sudeste
89240-000,89240000,MG,Juiz de Fora,Sudeste
88058-114,88058114,MG,Belo Horizonte,Sudeste
06330-000,6330000,MG,Belo Horizonte,Sudeste
01322-000,1322000,MG,Belo Horizonte,Sudeste
13181-387,13181387,MG,Belo Horizonte,Sudeste
66063-560,66063560,MG,Belo Horizonte,Sudeste
83310-450,83310450,MG,Belo Horizonte,Sudeste
13334-140,13334140,MG,Belo Horizonte,Sudeste
13505-236,13505236,MG,Belo Horizonte,Sudeste
61779-905,61779905,MG,Uberlândia,Sudeste
46900-000,46900000,MG,Belo Horizonte,Sudeste
78550-000,78550000,MG,Belo Horizonte,Sudeste
13348-719,13348719,MG,Belo Horizonte,Sudeste
85722-334,85722334,MG,Belo Horizonte,Sudeste
69018-150,69018150,MG,Belo Horizonte,Sudeste
52071-640,52071640,MG,Belo Horizonte,Sudeste
09371-605,9371605,MG,Belo Horizonte,Sudeste
08051-020,8051020,MG,Contagem,Sudeste
50910-450,50910450,MG,Contagem,Sudeste
89221-360,89221360,MG,Belo Horizonte,Sudeste
09403-010,9403010,MG,Uberlândia,Sudeste
83020-490,83020490,MG,Belo Horizonte,Sudeste
13160-158,13160158,MG,Belo Horizonte,Sudeste
70345-090,70345090,MG,Belo Horizonte,Sudeste
13280-081,13280081,MG,Belo Horizonte,Sudeste
03545-050,3545050,MG,Uberlândia,Sudeste
71918-360,71918360,MG,Belo Horizonte,Sudeste
03015-000,3015000,MG,Belo Horizonte,Sudeste
31540-670,31540670,MG,Juiz de Fora,Sudeste
35590-124,35590124,MG,Contagem,Sudeste
01403-001,1403001,MG,Belo Horizonte,Sudeste
04444-000,4444000,MG,Belo Horizonte,Sudeste
69048-326,69048326,MG,Belo Horizonte,Sudeste
17208-380,17208380,MG,Belo Horizonte,Sudeste
14021-619,14021619,MG,Belo Horizonte,Sudeste
14407-214,14407214,MG,Belo Horizonte,Sudeste
09930-350,9930350,MG,Belo Horizonte,Sudeste
05406-040,5406040,MG,Juiz de Fora,Sudeste
35473-000,35473000,MG,Belo Horizonte,Sudeste
85902-400,85902400,MG,Belo Horizonte,Sudeste
44540-000,44540000,MG,Belo Horizonte,Sudeste
78555-418,78555418,MG,Belo Horizonte,Sudeste
75393-393,75393393,MG,Belo Horizonte,Sudeste
85819-220,85819220,MG,Belo Horizonte,Sudeste
37505-192,37505192,MG,Belo Horizonte,Sudeste
07160-170,7160170,MG,Belo Horizonte,Sudeste
07021-010,7021010,MG,Contagem,Sudeste
36140-000,36140000,MG,Uberlândia,Sudeste
63210-000,63210000,MG,Juiz de Fora,Sudeste
66083-157,66083157,MG,Belo Horizonte,Sudeste
69980-000,69980000,MG,Belo Horizonte,Sudeste
57545-000,57545000,MG,Belo Horizonte,Sudeste
04770-070,4770070,MG,Juiz de Fora,Sudeste
81270-210,81270210,MG,Uberlândia,Sudeste
95790-000,95790000,MG,Belo Horizonte,Sudeste
74590-230,74590230,MG,Belo Horizonte,Sudeste
29066-430,29066430,MG,Belo Horizonte,Sudeste
78070-090,78070090,MG,Juiz de Fora,Sudeste
69919-600,69919600,MG,Belo Horizonte,Sudeste
04151-000,4151000,MG,Belo Horizonte,Sudeste
70878-090,70878090,MG,Belo Horizonte,Sudeste
50860-015,50860015,MG,Contagem,Sudeste
07141-400,7141400,MG,Belo Horizonte,Sudeste
09190-670,9190670,MG,Belo Horizonte,Sudeste
13338-229,13338229,MG,Belo Horizonte,Sudeste
15900-071,15900071,MG,Belo Horizonte,Sudeste
13400-370,13400370,MG,Belo Horizonte,Sudeste
28623-000,28623000,MG,Juiz de Fora,Sudeste
29590-000,29590000,MG,Juiz de Fora,Sudeste
05410-000,5410000,MG,Juiz de Fora,Sudeste
04558-080,4558080,MG,Belo Horizonte,Sudeste
29930-540,29930540,MG,Belo Horizonte,Sudeste
32341-120,32341120,MG,Uberlândia,Sudeste
11250-515,11250515,MG,Belo Horizonte,Sudeste
50721-775,50721775,MG,Belo Horizonte,Sudeste
13190-091,13190091,MG,Belo Horizonte,Sudeste
09320-620,9320620,MG,Belo Horizonte,Sudeste
51020-030,51020030,MG,Belo Horizonte,Sudeste
04107-021,4107021,MG,Juiz de Fora,Sudeste
04121-120,4121120,MG,Contagem,Sudeste
44470-000,44470000,MG,Uberlândia,Sudeste
35603-000,35603000,MG,Belo Horizonte,Sudeste
55310-000,55310000,MG,Belo Horizonte,Sudeste
04089-015,4089015,MG,Belo Horizonte,Sudeste
66814-155,66814155,MG,Juiz de Fora,Sudeste
26160-670,26160670,MG,Uberlândia,Sudeste
18276-690,18276690,MG,Juiz de Fora,Sudeste
61932-200,61932200,MG,Belo Horizonte,Sudeste
18116-440,18116440,MG,Belo Horizonte,Sudeste
06286-000,6286000,MG,Belo Horizonte,Sudeste
67115-000,67115000,MG,Belo Horizonte,Sudeste
24240-182,24240182,MG,Contagem,Sudeste
04943-040,4943040,MG,Belo Horizonte,Sudeste
68658-000,68658000,MG,Belo Horizonte,Sudeste
04618-020,4618020,MG,Belo Horizonte,Sudeste
94960-848,94960848,MG,Contagem,Sudeste
89520-000,89520000,MG,Belo Horizonte,Sudeste
78550-412,78550412,MG,Belo Horizonte,Sudeste
90630-000,90630000,MG,Belo Horizonte,Sudeste
93950-000,93950000,MG,Juiz de Fora,Sudeste
44050-273,4405027,MG,Belo Horizonte,Sudeste
28890-179,28890179,MG,Belo Horizonte,Sudeste
38606-170,38606170,MG,Belo Horizonte,Sudeste
78450-000,78450000,MG,Juiz de Fora,Sudeste
32185-270,32185270,MG,Belo Horizonte,Sudeste
02965-050,2965050,MG,Belo Horizonte,Sudeste
72001-278,72001278,MG,Belo Horizonte,Sudeste
44096-282,44096282,MG,Contagem,Sudeste
08320-040,8320040,MG,Uberlândia,Sudeste
03989-000,3989000,MG,Belo Horizonte,Sudeste
36220-000,36220000,MG,Belo Horizonte,Sudeste
20221-410,20221410,MG,Belo Horizonte,Sudeste
14078-010,14078010,MG,Belo Horizonte,Sudeste
06766-020,6766020,MG,Belo Horizonte,Sudeste
18114-340,18114340,MG,Belo Horizonte,Sudeste
08557-520,8557520,MG,Juiz de Fora,Sudeste
06540-365,6540365,MG,Belo Horizonte,Sudeste
84145-000,84145000,MG,Belo Horizonte,Sudeste
82220-190,82220190,MG,Contagem,Sudeste
02121-020,2121020,MG,Uberlândia,Sudeste
85864-390,85864390,MG,Belo Horizonte,Sudeste
88704-050,88704050,MG,Belo Horizonte,Sudeste
81010-001,81010001,MG,Belo Horizonte,Sudeste
05023-001,5023001,MG,Belo Horizonte,Sudeste
58037-255,58037255,MG,Belo Horizonte,Sudeste
22750-390,22750390,MG,Belo Horizonte,Sudeste
09992-040,9992040,MG,Belo Horizonte,Sudeste
32410-196,32410196,MG,Uberlândia,Sudeste
20775-140,20775140,MG,Belo Horizonte,Sudeste
72405-560,72405560,MG,Belo Horizonte,Sudeste
21911-310,21911310,MG,Belo Horizonte,Sudeste
75912-475,75912475,MG,Belo Horizonte,Sudeste
06411-010,6411010,MG,Belo Horizonte,Sudeste
82030-270,82030270,MG,Uberlândia,Sudeste
78360-000,78360000,MG,Belo Horizonte,Sudeste
88130-800,88130800,MG,Belo Horizonte,Sudeste
02215-000,2215000,MG,Contagem,Sudeste
13087-140,13087140,MG,Belo Horizonte,Sudeste
02566-090,2566090,MG,Belo Horizonte,Sudeste
01325-001,1325001,MG,Uberlândia,Sudeste
14030-330,14030330,MG,Belo Horizonte,Sudeste
14407-063,14407063,MG,Belo Horizonte,Sudeste
86320-000,86320000,MG,Belo Horizonte,Sudeste
03053-020,3053020,MG,Belo Horizonte,Sudeste
03144-050,3144050,MG,Belo Horizonte,Sudeste
01405-003,1405003,MG,Belo Horizonte,Sudeste
04256-060,4256060,MG,Belo Horizonte,Sudeste
89120-000,89120000,MG,Belo Horizonte,Sudeste
13271-510,13271510,MG,Juiz de Fora,Sudeste
20271-062,20271062,MG,Uberlândia,Sudeste
09404-030,9404030,MG,Belo Horizonte,Sudeste
18606-875,18606875,MG,Belo Horizonte,Sudeste
31578-260,31578260,MG,Belo Horizonte,Sudeste
22775-033,22775033,MG,Belo Horizonte,Sudeste
66635-110,66635110,MG,Belo Horizonte,Sudeste
03181-010,3181010,MG,Belo Horizonte,Sudeste
06192-150,6192150,MG,Contagem,Sudeste
74913-145,74913145,MG,Belo Horizonte,Sudeste
31742-159,31742159,MG,Uberlândia,Sudeste
57100-000,57100000,MG,Belo Horizonte,Sudeste
04313-002,4313002,MG,Belo Horizonte,Sudeste
13183-628,13183628,MG,Belo Horizonte,Sudeste
09616-000,9616000,MG,Belo Horizonte,Sudeste
03718-090,3718090,MG,Belo Horizonte,Sudeste
13347-080,13347080,MG,Belo Horizonte,Sudeste
17206-600,17206600,MG,Belo Horizonte,Sudeste
68445-000,68445000,MG,Juiz de Fora,Sudeste
58038-281,58038281,MG,Uberlândia,Sudeste
14177-138,14177138,MG,Belo Horizonte,Sudeste
08588-600,8588600,MG,Juiz de Fora,Sudeste
31015-120,31015120,MG,Belo Horizonte,Sudeste
04679-240,4679240,MG,Juiz de Fora,Sudeste
49155-050,49155050,MG,Belo Horizonte,Sudeste
06454-000,6454000,MG,Belo Horizonte,Sudeste
68903-190,68903190,MG,Belo Horizonte,Sudeste
35720-000,35720000,MG,Belo Horizonte,Sudeste
20561-070,20561070,MG,Belo Horizonte,Sudeste
95625-000,95625000,MG,Belo Horizonte,Sudeste
37480-000,37480000,MG,Belo Horizonte,Sudeste
66825-050,66825050,MG,Belo Horizonte,Sudeste
84300-000,84300000,MG,Belo Horizonte,Sudeste
09920-540,9920540,MG,Belo Horizonte,Sudeste
06670-140,6670140,MG,Belo Horizonte,Sudeste
08505-410,8505410,MG,Juiz de Fora,Sudeste
69053-130,69053130,MG,Contagem,Sudeste
78820-000,78820000,MG,Belo Horizonte,Sudeste
81825-170,81825170,MG,Belo Horizonte,Sudeste
09170-290,9170290,MG,Contagem,Sudeste
68743-529,68743529,MG,Belo Horizonte,Sudeste
18116-709,18116709,MG,Belo Horizonte,Sudeste
06455-000,6455000,MG,Belo Horizonte,Sudeste
29041-638,29041638,MG,Belo Horizonte,Sudeste
02995-110,2995110,MG,Uberlândia,Sudeste
03237-120,3237120,MG,Belo Horizonte,Sudeste
11050-031,11050031,MG,Belo Horizonte,Sudeste
04165-010,4165010,MG,Juiz de Fora,Sudeste
01032-001,1032001,MG,Belo Horizonte,Sudeste
22280-050,22280050,MG,Belo Horizonte,Sudeste
87518-000,87518000,MG,Belo Horizonte,Sudeste
81750-400,81750400,MG,Belo Horizonte,Sudeste
21941-110,21941110,MG,Juiz de Fora,Sudeste
81925-150,81925150,MG,Belo Horizonte,Sudeste
22411-002,22411002,MG,Belo Horizonte,Sudeste
52070-040,52070040,MG,Belo Horizonte,Sudeste
06840-095,6840095,MG,Juiz de Fora,Sudeste
75257-692,75257692,MG,Belo Horizonte,Sudeste
09614-000,9614000,MG,Contagem,Sudeste
12209-004,12209004,MG,Belo Horizonte,Sudeste
81020-230,81020230,MG,Juiz de Fora,Sudeste
79072-445,79072445,MG,Belo Horizonte,Sudeste
06784-370,6784370,MG,Belo Horizonte,Sudeste
12237-828,12237828,MG,Contagem,Sudeste
88813-340,88813340,MG,Belo Horizonte,Sudeste
78450-509,78450509,MG,Belo Horizonte,Sudeste
15063-051,15063051,MG,Uberlândia,Sudeste
31995-000,31995000,MG,Belo Horizonte,Sudeste
06162-280,6162280,MG,Contagem,Sudeste
13172-755,13172755,MG,Belo Horizonte,Sudeste
13201-005,13201005,MG,Juiz de Fora,Sudeste
22790-883,22790883,MG,Juiz de Fora,Sudeste
43700-000,43700000,MG,Juiz de Fora,Sudeste
86890-000,86890000,MG,Belo Horizonte,Sudeste
66060-060,66060060,MG,Contagem,Sudeste
57312-160,57312160,MG,Belo Horizonte,Sudeste
88330-696,88330696,MG,Belo Horizonte,Sudeste
89805-000,89805000,MG,Belo Horizonte,Sudeste
07095-170,7095170,MG,Belo Horizonte,Sudeste
23934-096,23934096,MG,Belo Horizonte,Sudeste
11671-355,11671355,MG,Belo Horizonte,Sudeste
05360-020,5360020,MG,Belo Horizonte,Sudeste
04895-240,4895240,MG,Belo Horizonte,Sudeste
13201-843,13201843,MG,Belo Horizonte,Sudeste
83403-520,83403520,MG,Contagem,Sudeste
55850-000,55850000,MG,Juiz de Fora,Sudeste
22231-000,22231000,MG,Belo Horizonte,Sudeste
15718-000,15718000,MG,Contagem,Sudeste
04763-090,4763090,MG,Belo Horizonte,Sudeste
37650-000,37650000,MG,Belo Horizonte,Sudeste
05890-220,5890220,MG,Contagem,Sudeste
44600-000,44600000,MG,Contagem,Sudeste
04050-050,4050050,MG,Belo Horizonte,Sudeste
66640-465,66640465,MG,Contagem,Sudeste
13024-091,13024091,MG,Belo Horizonte,Sudeste
01252-000,1252000,MG,Belo Horizonte,Sudeste
76817-003,76817003,MG,Belo Horizonte,Sudeste
09781-035,9781035,MG,Contagem,Sudeste
85858-080,85858080,MG,Contagem,Sudeste
69058-020,69058020,MG,Belo Horizonte,Sudeste
13448-302,13448302,MG,Belo Horizonte,Sudeste
88330-792,88330792,MG,Contagem,Sudeste
76801-216,76801216,MG,Belo Horizonte,Sudeste
22730-150,22730150,MG,Belo Horizonte,Sudeste
72135-240,72135240,MG,Belo Horizonte,Sudeste
76920-000,76920000,MG,Belo Horizonte,Sudeste
05541-210,5541210,MG,Belo Horizonte,Sudeste
52080-350,52080350,MG,Belo Horizonte,Sudeste
13506-898,13506898,MG,Belo Horizonte,Sudeste
04022-020,4022020,MG,Belo Horizonte,Sudeste
08042-150,8042150,MG,Belo Horizonte,Sudeste
04910-070,4910070,MG,Belo Horizonte,Sudeste
22621-200,22621200,MG,Uberlândia,Sudeste
80710-590,80710590,MG,Belo Horizonte,Sudeste
82900-130,82900130,MG,Belo Horizonte,Sudeste
04438-070,4438070,MG,Belo Horizonte,Sudeste
60310-750,60310750,MG,Uberlândia,Sudeste
24240-020,24240020,MG,Belo Horizonte,Sudeste
69900-000,69900000,MG,Belo Horizonte,Sudeste
05833-250,5833250,MG,Belo Horizonte,Sudeste
11702-480,11702480,MG,Belo Horizonte,Sudeste
73360-501,73360501,MG,Juiz de Fora,Sudeste
03806-010,3806010,MG,Uberlândia,Sudeste
06266-110,6266110,MG,Belo Horizonte,Sudeste
23914-360,23914360,MG,Belo Horizonte,Sudeste
13140-705,13140705,MG,Belo Horizonte,Sudeste
85340-000,85340000,MG,Contagem,Sudeste
04413-070,4413070,MG,Belo Horizonte,Sudeste
58225-000,58225000,MG,Belo Horizonte,Sudeste
04918-230,4918230,MG,Belo Horizonte,Sudeste
05143-120,5143120,MG,Belo Horizonte,Sudeste
01135-020,1135020,MG,Belo Horizonte,Sudeste
68515-000,68515000,MG,Juiz de Fora,Sudeste
20770-006,20770006,MG,Belo Horizonte,Sudeste
09070-220,9070220,MG,Contagem,Sudeste
04710-090,4710090,MG,Belo Horizonte,Sudeste
86060-238,86060238,MG,Uberlândia,Sudeste
73808-769,73808769,MG,Belo Horizonte,Sudeste
72255-308,72255308,MG,Belo Horizonte,Sudeste
71687-348,71687348,MG,Juiz de Fora,Sudeste
78643-000,78643000,MG,Belo Horizonte,Sudeste
36416-040,36416040,MG,Belo Horizonte,Sudeste
50720-725,50720725,MG,Belo Horizonte,Sudeste
74810-240,74810240,MG,Belo Horizonte,Sudeste
52041-310,52041310,MG,Juiz de Fora,Sudeste
09781-035,9781035,MG,Uberlândia,Sudeste
03503-000,3503000,MG,Belo Horizonte,Sudeste
06850-040,6850040,MG,Uberlândia,Sudeste
32115-150,32115150,MG,Belo Horizonte,Sudeste
05665-010,5665010,MG,Belo Horizonte,Sudeste
88190-000,88190000,MG,Belo Horizonte,Sudeste
92310-160,92310160,MG,Contagem,Sudeste
30140-140,30140140,MG,Uberlândia,Sudeste
09340-440,9340440,MG,Belo Horizonte,Sudeste
78075-867,78075867,MG,Belo Horizonte,Sudeste
18071-801,18071801,MG,Belo Horizonte,Sudeste
03024-000,3024000,MG,Belo Horizonte,Sudeste
87711-010,87711010,MG,Contagem,Sudeste
05145-000,5145000,MG,Belo Horizonte,Sudeste
22790-691,22790691,MG,Juiz de Fora,Sudeste
78898-080,78898080,MG,Juiz de Fora,Sudeste
62280-000,62280000,MG,Belo Horizonte,Sudeste
94965-480,94965480,MG,Contagem,Sudeste
74823-110,74823110,MG,Belo Horizonte,Sudeste
13060-489,13060489,MG,Juiz de Fora,Sudeste
92310-240,92310240,MG,Belo Horizonte,Sudeste
83403-230,83403230,MG,Belo Horizonte,Sudeste
74933-530,74933530,MG,Contagem,Sudeste
94930-210,94930210,MG,Belo Horizonte,Sudeste
14403-238,14403238,MG,Belo Horizonte,Sudeste
80630-280,80630280,MG,Belo Horizonte,Sudeste
72006-200,72006200,MG,Uberlândia,Sudeste
04960-130,4960130,MG,Belo Horizonte,Sudeste
04116-020,4116020,MG,Juiz de Fora,Sudeste
19705-500,19705500,MG,Belo Horizonte,Sudeste
04169-000,4169000,MG,Belo Horizonte,Sudeste
06445-080,6445080,MG,Contagem,Sudeste
30530-650,30530650,MG,Juiz de Fora,Sudeste
38280-000,38280000,MG,Uberlândia,Sudeste
75680-094,75680094,MG,Belo Horizonte,Sudeste
25575-280,25575280,MG,Uberlândia,Sudeste
63010-127,63010127,MG,Juiz de Fora,Sudeste
38613-112,38613112,MG,Contagem,Sudeste
